resume	이력서
applicant	지원자, 신청자
requirement	필요조건, 요건
meet	(필요,요구 등을)만족시키다
qualified	자격있는, 적격의
candidate	후보자, 지원자
confidence	확신, 자신, 신임
highly	매우, 대단히
professional	전문적인, 직업의, 전문가
interview	면접, 면접을 보다
hire	고용하다
training	교육, 훈련
reference	추천서, 참고
position	일자리, 직책, 두다
achievement	성취, 달성
impressed	인상 깊게 생각하는, 감명을 받은
excellent	훌륭한
eligible	자격이 있는, 적격의
identify	알아보다, 확인하다
associate	관련시키다
condition	조건
employment	고용
lack	~이 없다, 부족
managerial	관리의
diligent	성실한
familiar	익숙한, 친숙한
proficiency	숙달, 능숙
prospective	장래의, 미래의
appeal	관심을 끌다, 매력적이다
specialize	~을 전공하다, 전문적으로 다루다
apprehensive	걱정하는, 염려하는
consultant	고문, 컨설턴트
entitle	자격을 주다
degree	학위
payroll	임금대장, 금료명부
recruit	(신입사원등을)모집하다
certification	증명서, 증명
occupation	직업
wage	임금, 급료
