proposal	제안, 계획
alliance	동맹, 제휴
stipulation	계약 조건
term	조건; 임기, 기한
compromise	타협, 화해
negotiation	협상, 교섭
agreement	계약, 협정; 합의
deadlock	교착 상태
review	검토하다, 재조사하다
contract	계약(서),계약하다, 수축하다
signature	서명
originally	원래, 처음에는
direction	방향, 지시, 감독
initially	처음에, 초기에
expire	(계약등이)만료되다
collaborate	협력하다, 공동으로 일하다
dedicate	전념하다, 헌신하다, 바치다(indicate 나타내다)
revised	수정된, 변경된
imperative	반드시 해야 하는, 필수적인
cooperatively	협력하여, 협조적으로
commission	수수료, 커미션; 위원회; (일 등을)의뢰하다, 주문하다
omit	빠뜨리다, 생략하다
conflict	대립, 충돌, 갈등
renew	(계약 등을)갱신하다
proficient	능숙한, 능한
confidentiality	기밀, 비밀
dispute	분쟁, 논쟁
objection	반대, 이익
define	규정하다, 정의하다
impression	인상
security	보안, 안전, 보호
option	선택권
proceed	(일을)진행하다, 진척되다
modify	수정하다, 일부 변경하다
narrow	(범위 등을)좁히다
bid	입찰
settle	해결하다, 처리하다
terminate	끝내다, 종결시키다
challenging	도전적인, 힘든
foundation	토대, 기초
