check in	체크인하다, 숙박 수속을 하다
compensate	보상하다 (compensation 보상)
complimentary	무료의, 우대의
chef	주방장
container	용기, 그릇
elegant	우아한, 고상한
flavor	맛, 풍미
accommodate	(건물 등이)~을 수용하다, 숙박시키다; (충분한 공간을) 제공하다; (조건, 요구 등을)만족시키다
available	(사물이)이용 가능한; (사람이) 시간이 있는
reception	환영회; (호텔, 회사, 병원 등의)접수처
in advance	미리, 사전에
refreshments	다과, 가벼운 음식물
make	~을 하다, ~을 만들다
cater	(연회 등의)음식물을 공급하다
reservation	예약, 지정; 보호구역
beverage	음료
confirm	확인하다
cancel	취소하다
rate	요금
conviniently	편리하게
decorate	장식하다
information	정보, 자료
retain	유지하다, 보유하다
atmosphere	분위기, 환경
cuisine	(독특한)요리
sequence	순서, 차례
extensive	광범위한, 넓은
prior	전의, 먼저의
book	예약하다
amenity	편의 시설
belongings	소지품, 소유물
entirely	완전히
ease	완화시키다, 쉬움, 용이함
ingredient	재료, 성분
sip	음미하며 마시다, 홀짝거리다
stir	휘젓다, 뒤섞다
choice	선택물, 선택 사항, 선택
complication	복잡한 문제
freshness	신선함
occupancy	(호텔등의)이용률
