host	(대회 등을)주최하다
annual	매년의
purpose	목적, 의도
enroll	등록하다
lecture	강의, 강연
participant	참가자
attend	참석하다, 출석하다
encourage	장려하다, 복돋아주다
leave		휴가, 떠나다, 남기다
recommendation	추천사항, 추천
conference	회의, 회담
schedule	~을 예정하다
include	포함하다
result		결과,(~의 결과로)되다
register	등록하다
require	요구하다
grateful	고마워하는, 감사하는
overtime	초과근무, 야근
responsibility	부담, 책임, 의무
assent		찬성하다, 승인, 동의 (approval 승인) (approve 찬성하다) (prove 증명하다)
regard	~을 -으로 간주하다, 여기다, 관심,배려
tentative	임시적인, 잠정적인
welcome	반가운, 기꺼이 받아들여지는
function	행사, 연회
commence	시작되다
objective	목표, 목적
excited	신이 난, 들뜬
reimbursement	상환, 변제, 배상
treatment	대우, 처우
honor	존경, 명예
emphasize	강조하다
entry	(경기 등의)참가자, 출품물
bonus	상여금, 보너스
salary	급여
earn	(금전 등을)벌다; (평판을)받다, 얻다
arise	(문제 등이)발생하다, 일어나다 = occur
labor	노동
union	노동조합
existing	기존의, 현행의
exploit	착취하다, 부당하게 이용하다 (exploitation 개발, 개척, 약탈, 착취)
