appoint	임명하다, 지명하다
appraisal	평가
promote	승진시키다; 촉진하다
skilled	숙련된, 노련한
radically	완전히, 철저히, 근본적으로 (radical 근본적인, 과격한)
exceptional	뛰어난, 예외적인 (exception 예외, 이의, 반대)
appreciation	감사
evaluate	평가하다
suggest	제안하다, 추천하다
preference	선호
management	경영진, 경영
predict	예측하다
transfer	보내다; 전근시키다
award	상 (reward 보상하다, 포상,보상)
mandatory	의무적인
competent	유능한, 능숙한 (competence 능력)
performance	실적,성과; 공연,연주, 연기
reward		~에 보답하다, 보상하다, 포상,보상 (award 상)
search	찾기, 수색, 조사
inexperienced	경험없는, 미숙한
early	시간상 이른, 조기의
designate	지명하다, 지정하다
executive	경영의,관리의
dedication	헌신
unanimously	만장일치로 (unanimous 만장일치의) (anonymously 익명으로, 특색없이)
progress	진행, 진척, 진전, 진보하다, 발전하다
congratulate	축하하다
dismiss	해임하다, 해고하다
independence	독립성
participation	참여, 참가, 가입
praise	칭찬
accomplishment	성과,업적
deliberation		토의, 심의, 숙고 (deliberate 고의의, 숙고하다)
leadership	리더십, 지도력
retire	퇴직하다, 은퇴하다
nomination	임명, 지명
reorganize	재편성하다, 재조직하다 (recognize 인식하다) (organize 조직하다)
serve	근무하다, 일하다
encouragement	격려
resignation	사임, 사직, 사직서
strictly	엄격히
