delinquent	(세금 등이)연체된, 미불의
overdue	(지불,반납 등의)기한이 지난, 지불 기한이 넘은
regrettably	유감스럽게도
balance	잔고, 차감 잔액
deposit	입금하다, 예금하다
investigation	조사 (investigate 연구하다, 조사하다)
account	계좌; 설명; 고려
statement	명세서, 성명서
amount	액수, 양
withdrawal	(예금의)인출
previously	이전에
due	만기가 된, 지불 기일이 된; (금전 등이)~에게 마땅히 지급되어야 할
receive	받다, 수취하다
expect	예상하다, 기대하다
certificate	증명서, 증서
document	서류, 문서
spending	소비; 지출
successfully	성공적으로
bill	~에게 청구서를 보내다, 청구서, 계산서
pleasure	즐거움, 기쁜, 영광
study	연구
summary	요약, 개요 (emphasize 강조하다)
temporary	임시의
lower	(양,가격을)줄이다
transaction	거래, 업무
double	두배로 만들다
identification	신분증, 신분 증명서
dissatisfaction	불만, 불평
in common	공통으로, 공동으로
interest	관심; 권리; 이자
reject	거절하다, 거부하다
relation	관계
tentatively	임시로, 시험적으로 (tentative 시험적인, 임시의, 가설)
alternatively	그렇지 않으면, 그 대신에
attentive	주의 깊은, 세심한
convert	전환하다, 변환하다
heavily	몹시, 심하게
loan	대출, 대출금
unexpected	예기치 않은
cash	현금으로 바꾸다
mortgage	(담보)대출
payable	지불해야 하는
personal	개인의
