sophisticated	(기계가)정교한, 복잡한; 세련된
timely	시기적절한, 때를 맞춘
realistically	현실적으로
promptly	즉시; 정각에
accessible	출입할 수 있는; 이용할 수 있는
implement	실시하다, 실행하다
feedback	의견, 반응
outstanding	우수한; (부채 등이)미지불된
inform	~에게 알리다
replacement	교체, 후임자
announcement	공고, 발표
department	(조직, 기구의)부서
permanently	영구적으로, 불변으로
fulfill	(조건을)만족시키다, (약속, 의무등을)지키다, 이행하다
outline	개요, 설명하다, 약술하다
explain	설명하다
contain	포함하다
compile	(자료 등을)편집하다; 모으다
subsequent	차후의, 그 다음의
overview	개요, 개관
provider	공급자, 제공자
matter	문제, 일
expertise	전문지식, 전문기술
demonstrate	증명하다; (모형, 실험등으로)설명하다
remainder	나머지
essential	필수적인, 극히 중요한, 본질적인
divide	분배하다, 나누다
major	주요한, 중대한
compliance	(명령, 법규에의)준수
clarify	명확하게 하다
face	(문제 등에)직면하다; 향하다, 마주보다
follow	~을 따라가다; 주시하다; (분명히)이해하다
aspect	관점, 국면
apparently	보기에 ~한 듯한, 외관상으로는
aware	알고 있는, 인식하고 있는
extended	(기간 등을)연장한, 장기간에 걸친
accidentally	뜻하지 않게, 우연히
advisable	바람직한, 합당한
concerned	염려하는, 걱정하는; 관련된
speak	이야기 하다
