予	나 여, 미리 예
序	차례 서
野	들 야
務	힘쓸 무
柔	부드러울 유
市	저자 시, 시장 시
師	스승 사
帝	임금 제
吉	길할 길
結	맺을 결
各	각각 각
客	손님 객
落	떨어질 락(낙)
限	한정할 한
退	물러날 퇴
郞	사내 랑
良	어질 량
浪	물결 랑
恨	한할 한 (한탄, 원한)
當	마땅 당
堂	집 당
免	면할 면
晩	늦을 만
莫	없을 막
暮	저물 모 (조삼모사)
昔	예 석 (옛날)
惜	아낄 석
散	흩을 산
傷	다칠 상
陽	볕 양
給	줄 급
拾	주울 습, 열 십
申	거듭 신
甲	갑옷 갑
億	억 억
憶	생각할 억 (기억, 추억)
敢	감히 감
嚴	엄할 엄
余	나 여, 남을 여
餘	남을 여
悅	기쁠 열
稅	세금 세
脫	벗을 탈
支	지탱할 지
技	재주 기
枝	가지 지
栽	심을 재
哉	어조사 재
適	맞을 적
敵	대적할 적
破	깨뜨릴 파
彼	저 피 (피아식별, 지피지기)
尤	더욱 우
就	나아갈 취 (취임, 취업; 취항, 성취)
暴	사나울 폭, 모질 포 (폭력, 폭행; 폭락, 폭식)
泰	클 태 (태평, 태연, 태국)
乎	어조사 호
呼	부를 호
責	꾸짖을 책
貴	귀할 귀
旣	이미 기 (기존, 기성, 기출)
卽	곧 즉 (즉시, 즉각, 즉석)
庚	별 경
莫	없을 막
皆	다 개
混	섞을 혼
傷	다칠 상
揚	날릴 양 (국위선양, 게양)
着	붙을 착
看	볼 간
聖	성인 성
望	바랄 망
將	장수 장
壯	장할 장
讀	읽을 독
續	이을 속 (계속, 연속, 속편)
反	돌이킬 반
友	벗 우
充	채울 충
流	흐를 류
