佳	아름다울 가
假	거짓 가
脚	다리 각
看	볼 간
渴	목마를 갈
敢	감히 감
減	덜 감
甘	달 감
講	외울 강
降	내릴 강, 항복할 항
皆	다 개
更	다시 갱, 고칠 경
居	살 거
巨	클 거
乾	하늘 건, 마를 건
堅	굳을 견
潔	깨끗할 결
耕	밭갈 경
輕	가벼울 경
驚	놀랄 경
溪	시내 계
鷄	닭 계
苦	쓸 고
穀	곡식 곡
困	곤할 곤
坤	땅 곤
關	관계할 관
橋	다리 교
舊	옛 구
勸	권할 권
卷	책 권
歸	돌아갈 귀
均	고를 균
極	극진할 극, 다할 극
及	미칠 급 (파급, 과유불급)
急	급할 급
給	줄 급
幾	몇 기
旣	이미 기 (기존, 기성, 기출)
暖	따뜻할 난
乃	이에 내, 곧 내
怒	성낼 노
但	다만 단
端	끝 단
當	마땅 당
待	기다릴 대
徒	무리 도
燈	등 등
浪	물결 랑
郞	사내 랑
凉	서늘할 량
練	익힐 련
烈	세찰 렬, 매울 렬
領	거느릴 령
露	이슬 로
綠	푸를 록
柳	버들 류
倫	인륜 륜
李	오얏 리, 성씨 이
莫	없을 막
晩	늦을 만
忘	잊을 망
忙	바쁠 망
妹	누이 매
買	살 매
麥	보리 맥
免	면할 면
眠	잘 면
鳴	울 명
暮	저물 모 (조삼모사)
卯	토끼 묘
妙	묘할 묘
茂	무성할 무
墨	먹 묵
勿	말 물 (하지 말아라)
尾	꼬리 미
朴	성씨 박
飯	밥 반
房	방 방 (room)
杯	잔 배
伐	칠 벌
凡	무릇 범
伏	엎드릴 복
逢	만날 봉
否	아닐 부
扶	도울 부
浮	뜰 부
部	떼 부, 거느릴 부
佛	부처 불
朋	벗 붕
悲	슬플 비
鼻	코 비
貧	가난할 빈
巳	뱀 사
私	사사 사
