絲	실 사
舍	집 사
謝	사례할 사
散	흩을 산
傷	다칠 상
喪	잃을 상
常	떳떳할 상, 항상 상
霜	서리 상
暑	더울 서
惜	아낄 석
昔	예 석 (옛날)
舌	혀 설
盛	성할 성 (왕성, 전성, 성황)
聖	성인 성
稅	세금 세
細	가늘 세
笑	웃음 소
續	이을 속 (계속, 연속, 속편)
松	소나무 송
修	닦을 수
壽	목숨 수
愁	근심 수
樹	나무 수
秀	빼어날 수
誰	누구 수
雖	비록 수
須	모름지기 수 (틀림없이)
叔	아저씨 숙
宿	잘 숙, 별자리 수
淑	맑을 숙 (사람의 성품; 숙녀)
純	순수할 순
戌	개 술 (11번째 지지)
崇	높을 숭
拾	주울 습, 열 십
乘	탈 승
承	이을 승
試	시험 시
申	거듭 신
辛	매울 신
深	깊을 심
甚	심할 심
我	나 아
惡	악할 악
眼	눈 안
顔	낯 안
巖	바위 암
暗	어두울 암
仰	우러를 앙
哀	슬플 애
也	잇기 야, 어조사 야
揚	날릴 양 (국위선양, 게양)
讓	사양할 양
於	어조사 어, 탄식할 오
億	억 억
憶	생각할 억 (기억, 추억)
嚴	엄할 엄
余	나 여, 남을 여
如	같을 여
汝	너 여
與	더불 여, 줄 여 (참여, 관여; 급여, 증여)
餘	남을 여
亦	또 역
煙	연기 연
悅	기쁠 열
炎	불꽃 염
葉	잎 엽
迎	맞을 영 (맞이하다; 환영)
吾	나 오
悟	깨달을 오 (각오)
誤	그르칠 오 (오해, 오답, 오작동)
瓦	기와 와
臥	누울 와
曰	가로 왈
欲	하고자 할 욕
于	어조사 우
又	또 우
尤	더욱 우
憂	근심 우
遇	만날 우 (대우, 처우, 우대)
云	이를 운
圓	둥글 원
怨	원망할 원
偉	클 위
危	위태할 위
威	위엄 위
唯	오직 유 (유일무이)
幼	어릴 유
柔	부드러울 유
猶	오히려 유
遊	놀 유
酉	닭 유
乙	새 을(둘째 천간 을)
吟	읊을 음 (신음, 낭음)
陰	그늘 음
泣	울 읍
依	의지할 의
矣	어조사 의
已	이미 이
異	다를 이 (이견, 이의, 특이)
而	말 이을 이 (이후, 이미)
