印	도장 인
寅	범 인, 동방 인
忍	참을 인
認	알 인
壬	북방 임
姊	손위누이 자
慈	사랑 자 (자비롭다)
昨	어제 작
壯	장할 장
哉	어조사 재
栽	심을 재
低	낮을 저
著	나타날 저
敵	대적할 적
赤	붉을 적
適	맞을 적 (알맞다, 마땅하다)
錢	돈 전
丁	장정 정, 고무래 정
井	우물 정
停	머무를 정
淨	깨끗할 정
貞	곧을 정 (정직, 정조, 정절, 정결)
靜	고요할 정
頂	정수리 정
祭	제사 제
諸	모두 제
除	덜 제
尊	높을 존 (존경, 존중, 존함)
從	쫓을 종
終	끝 종, 마칠 종
鐘	쇠북 종 (종각, 종로)
坐	앉을 좌
朱	붉을 주 (주황색)
酒	술 주
卽	곧 즉 (즉시, 즉각, 즉석)
曾	일찍 증 (증조 할아버지)
證	증거 증
之	갈 지
只	다만 지
持	가질 지 (소지품, 지참)
枝	가지 지
盡	다할 진 (진심, 기진맥진)
辰	별 진, 때 신 (임진년; 생신)
執	잡을 집 (집착, 집념, 고집)
且	또 차 (차차)
借	빌 차, 빌릴 차
此	이 차 (this; 차후)
昌	창성할 창 (번창, 창대)
採	캘 채 (채택, 채용, 채광)
菜	나물 채
妻	아내 처
尺	자 척
泉	샘 천 (온천, 원천)
淺	얕을 천 (천박)
鐵	쇠 철
晴	갤 청 (쾌청, 청천벽력)
聽	들을 청
請	청할 청
招	부를 초 (초대, 초청, 자초)
推	밀 추 (추진, 추천; 추정, 추측)
丑	소 축
吹	불 취 (숨, 바람, 악기를)
就	나아갈 취 (취임, 취업; 취항, 성취)
針	바늘 침 (지침, 방침; 나침반, 시침, 분침)
他	다를 타 (타인)
脫	벗을 탈
探	찾을 탐
泰	클 태 (태평, 태연, 태국)
投	던질 투
破	깨뜨릴 파
篇	책 편 (장편, 단편)
閉	닫을 폐
布	베 포,  모질 포 (배포, 선포; 분포, 산포)
抱	안을 포 (포옹, 포부, 포괄)
暴	사나울 폭, 모질 포 (폭력, 폭행; 폭락, 폭식)
彼	저 피 (피아식별, 지피지기)
匹	짝 필 (배필)
何	어찌 하 (하필이면; なに、いかがですか)
賀	하례할 하 (축하와 예; 축하, 하객)
寒	찰 한 (혹한기, 한파; 한심)
恨	한할 한 (한탄, 원한)
閑	한가할 한
恒	항상 항
亥	돼지 해
虛	빌 허 (empty; 허공, 허상; 허무, 허망)
許	허락할 허 (허락, 허가, 허용)
賢	어질 현 (현명, 현자, 현모양처)
刑	형벌 형
乎	어조사 호
呼	부를 호
戶	집 호
或	혹 혹 (혹시, 혹은)
混	섞을 혼
紅	붉을 홍
華	빛날 화 (화려, 부귀영화)
歡	기쁠 환
厚	두터울 후 (후덕하다)
胸	가슴 흉
黑	검을 흑
喜	기쁠 희
