歌	노래 가
街	거리 가
各	각각 각
干	방패 간
强	강할 강
個	낱 개
改	고칠 개
擧	들 거
犬	개 견
谷	골 곡
骨	뼈 골
久	오랠 구
句	글귀 구
救	구원할 구
弓	활 궁
權	권세 권
貴	귀할 귀
勤	부지런할 근
根	뿌리 근
禁	금할 금
其	그 기 (기타, 기간)
起	일어날 기
難	어려울 난
勞	일할 노(로)
丹	붉을 단
短	짧을 단
堂	집 당
代	대신 대
刀	칼 도
獨	홀로 독
讀	읽을 독
斗	말 두
豆	콩 두
頭	머리 두
得	얻을 득
卵	알 란
冷	찰 랭
良	어질 량
量	헤아릴 량
歷	지날 력
連	이을 련
列	벌일 렬
留	머무를 류
陸	뭍 륙(육)
滿	찰 만
望	바랄 망
賣	팔 매
勉	힘쓸 면
務	힘쓸 무
舞	춤출 무
味	맛 미
米	쌀 미
密	빽빽할 밀
訪	찾을 방
防	막을 방
拜	절 배
變	변할 변
飛	날 비
氷	얼음 빙
使	하여금 사, 부릴 사
寺	절 사
射	쏠 사
殺	죽일 살
尙	오히려 상
仙	신선 선
善	착할 선
聲	소리 성
勢	형세 세
速	빠를 속
送	보낼 송
授	줄 수
勝	이길 승
施	베풀 시
視	볼 시
識	알 식
