新	새 신
氏	각시 씨, 성씨 씨
愛	사랑 애
夜	밤 야
弱	약할 약
若	같을 약
漁	고기잡을 어
易	바꿀 역, 쉬울 이
逆	거스를 역
然	그럴 연
硏	갈 연
榮	영화 영
藝	재주 예
烏	까마귀 오
屋	집 옥
溫	따뜻할 온
往	갈 왕
浴	목욕할 욕
勇	날랠 용
宇	집 우
雄	수컷 웅
遠	멀 원
願	원할 원
爲	할 위
遺	남길 유
飮	마실 음
以	써 이
仁	어질 인
將	장수 장
章	글 장
貯	쌓을 저
店	가게 점
第	차례 제
製	지을 제, 만들 제
兆	조 조 (만억조)
助	도울 조
早	이를 조
造	지을 조
存	있을 존
卒	군사 졸, 마칠 졸
罪	허물 죄
宙	집 주
晝	낮 주
走	달릴 주
衆	무리 중
增	더할 증
支	지탱할 지
着	붙을 착
唱	부를 창
窓	창(문) 창
責	꾸짖을 책
處	곳 처
最	가장 최
追	쫓을 추
春	봄 춘
快	쾌할 쾌 (유쾌, 상쾌)
打	칠 타
退	물러날 퇴
判	판단할 판
敗	패할 패
貝	조개 패
皮	가죽 피
河	물 하
限	한정할 한
害	해할 해
革	가죽 혁
協	화합할 협
好	좋을 호
湖	호수 호
虎	범 호
婚	혼인할 혼
貨	재물 화
患	근심 환
皇	임금 황
凶	흉할 흉
