價	값 가
可	옳을 가
感	느낄 감
開	열 개
客	손님 객
結	맺을 결
敬	공경 경
固	굳을 고
功	공 공 (공로, 일, 업적)
空	빌 공 (empty)
課	공부할 과, 과정 과
官	벼슬 관
觀	볼 관
廣	넓을 광
敎	가르칠 교
郡	고을 군
近	가까울 근
期	기약할 기
吉	길할 길
念	생각 념
達	통달할 달
談	말씀 담
對	대할 대
德	클 덕, 덕 덕
到	이를 도
動	움질일 동
洞	골 동 (골짜기)
登	오를 등
落	떨어질 락(낙)
旅	나그네 려
禮	예도 례 (예절, 예의, 예배)
路	길 로
論	논할 론
流	흐를 류
律	법칙 률
理	다스릴 리
末	끝 말
亡	망할 망 (멸망, 사망)
問	물을 문
未	아닐 미
發	필 발
別	다를 별, 나눌 별
報	갚을 보, 알릴 보 (보답, 보상; 보고, 통보)
福	복 복
婦	며느리 부
富	부자 부
復	회복할 복, 다시 부 (회복, 복구; 부활, 부흥)
備	갖출 비
仕	섬길 사
思	생각 사
産	낳을 산
算	셈 산
想	생각 상
相	서로 상
賞	상줄 상
席	자리 석
船	배 선
選	가릴 선 (선별, 선택, 당선, 선수)
鮮	고울 선 (신선, 생선, 선명, 조선)
設	베풀 설 (설립, 설계, 설치)
說	말씀 설, 달랠 세
雪	눈 설
姓	성 성
星	별 성
省	살필 성
誠	정성 성
歲	해 세 (연세, 세월)
洗	씻을 세
孫	손자 손
受	받을 수
守	지킬 수
收	거둘 수 (수입, 수확)
數	셈 수
首	머리 수
順	순할 순
