是	옳을 시, 이 시
式	법 식
植	심을 식
陽	볕 양
語	말씀 어
永	길 영
英	꽃부리 영
完	완전할 완
右	오른 우
運	옮길 운
園	동산 원
油	기름 유
恩	은혜 은
應	응할 응
義	옳을 의
議	의논할 의
移	옮길 이
益	더할 익
引	끌 인
場	마당 장
再	두 재
在	있을 재
才	재주 재
的	과녁 적
傳	전할 전
節	마디 절
絶	끊을 절
接	이을 접
精	정할 정
題	제목 제
調	고를 조
宗	마루 종
左	왼 좌
重	무거울 중
志	뜻 지
知	알 지
至	이를 지
進	나아갈 진
察	살필 찰
參	참여할 참
冊	책 책
淸	맑을 청
體	몸 체
寸	마디 촌
祝	빌 축
忠	충성 충
蟲	벌레 충
取	가질 취
治	다스릴 치
致	이를 치
親	친할 친
宅	집 택, 집 댁
統	거느릴 통
通	통할 통
特	특별할 특
波	물결 파
片	조각 편
豐	풍년 풍
筆	붓 필
漢	한나라 한
韓	나라 한
解	풀 패
向	향할 향
鄕	시골 향
現	나타날 현
惠	은혜 혜
號	이름 호
黃	누를 황
會	모일 회
孝	효도 효
效	본받을 효
訓	가르칠 훈
休	쉴 휴
興	일 흥
希	바랄 희
