車	수레 차, 수레 거
高	높을 고
工	장인 공
果	실과 과
交	사귈 교
口	입 구
女	계집 녀
大	큰 대
力	힘 력
老	늙을 로
立	설 립
馬	말 마
萬	일만 만
面	낯 면
母	어미 모
木	나무 목
目	눈 목
文	글월 문
門	문 문
夫	지아비 부
父	아비 부
山	뫼 산
夕	저녁 석
石	돌 석
手	손 수
水	물 수
身	몸 신
心	마음 심
兒	아이 아
羊	양 양
魚	물고기 어
玉	구슬 옥
王	임금 왕
牛	소 우
雨	비 우
月	달 월
衣	옷 의
人	사람 인
日	날 일
子	아들 자
自	스스로 자
長	길 장
田	밭 전
足	발 족
主	주인 주
天	하늘 천
川	내 천
土	흙 토
行	다닐 행
火	불 화
家	집 가
角	뿔 각
建	세울 건
見	볼 견
季	계절 계
古	옛 고
故	연고 고
曲	굽을 곡
科	과목 과
光	빛 광
九	아홉 구
軍	군사 군
今	이제 금
金	쇠 금
己	몸 기
南	남녘 남
男	사내 남
內	안 내
年	해 년
能	능할 능
單	홑 단
同	한가지 동
東	동녘 동
樂	즐길 락
來	올 래
令	하여금 령
利	이로울 리
名	이름 명
毛	털 모
無	없을 무
民	백성 민
方	모 방
白	흰 백
百	일백 백
法	법 법
兵	병사 병
本	근본 본
不	아닐 불
北	북녘 북
分	나눌 분
事	일 사
史	사관 사
四	넉 사
士	선비 사
三	석 삼
上	윗 상
商	장사 상
色	빛 색
生	날 생
書	글 서
西	서녘 서
成	이룰 성
世	인간 세
小	작을 소
少	적을 소
市	저자 시
示	보일 시
食	먹을 식
臣	신하 신
失	잃을 실
十	열 십
言	말씀 언
業	업 업
五	다섯 오
午	낮 오
外	바깥 외
容	얼굴 용
用	쓸 용
元	으뜸 원
原	근원 원
位	자리 위
有	있을 유
由	말미암을 유
六	여섯 육
肉	고기 육
音	소리 음
邑	고을 읍
二	두 이
因	인할 인
一	한 일
入	들 입
者	놈 자
全	온전 전
弟	아우 제
中	가운데 중
眞	참 진
次	버금 차
千	일천 천
初	처음 초
則	법칙 칙
七	일곱 칠
太	클 태
八	여덟 팔
表	겉 표
風	바람 풍
下	아래 하
合	합할 합
幸	다행 행
兄	형 형
回	돌아올 회
加	더할 가
間	사이 간
江	강 강
去	갈 거
決	결단할 결
京	서울 경
慶	경사 경 (기쁜 일)
景	볕 경
競	다툴 경
經	지날 경
界	지경 계
計	셀 계
告	알릴 고
考	생각할 고
公	공평할 공
共	함께 공
過	지날 과
校	학교 교
求	구할 구
究	연구할 구
國	나라 국
君	임금 군
基	터 기
技	재주 기
氣	기운 기
記	기록할 기
農	농사 농
多	많을 다
答	대답 답
圖	그림 도
島	섬 도
度	법도 도
道	길 도
都	도읍 도
冬	겨울 동
童	아이 동
等	무리 등
例	법식 례
料	헤아릴 료
里	마을 리
林	수풀 림
每	매양 매
命	목숨 명
明	밝을 명
武	호반 무
聞	들을 문
物	물건 물
美	아름다울 미
半	반 반
反	돌이킬 반
放	놓을 방
番	차례 번
病	병 병
保	지킬 보
步	걸음 보
服	옷 복
奉	받들 봉
比	견줄 비
非	아닐 비
師	스승 사
死	죽을 사
序	차례 서
先	먼저 선
線	줄 선
城	성 성, 재 성
性	성품 성
所	바 소
消	사라질 소
素	본디 소, 흴 소
俗	풍속 속
習	익힐 습
始	비로소 시, 처음 시
時	때 시
詩	시 시 (poet)
信	믿을 신
神	귀신 신
室	집 실
實	열매 실
安	편안 안
案	책상 안
野	들 야
約	맺을 약
藥	약 약
兩	두 량
洋	큰바다 양
養	기를 양
熱	더울 열
要	요긴할 요
友	벗 우
雲	구름 운
育	기를 육
銀	은 은
意	뜻 의
醫	의원 의
耳	귀 이
字	글자 자
作	지을 작
材	재목 재
財	재물 재
爭	다툴 쟁
典	법 전
前	앞 전
展	펼 전
戰	싸움 전
電	번개 전
定	정할 정
庭	뜰 정
情	뜻 정
政	정사 정
正	바를 정
帝	임금 제
朝	아침 조
祖	할아비 조
鳥	새 조
族	겨레 족
種	씨 종
住	살 주
注	부을 주
竹	대나무 죽
地	땅 지
指	가리킬 지
止	그칠 지
紙	종이 지
直	곧을 직
質	바탕 질
集	모을 집
靑	푸를 청
草	풀 초
村	마을 촌
秋	가을 추
出	날 출
充	채울 충
齒	이 치
便	편할 편
平	평평할 평
品	물건 품
必	반드시 필
夏	여름 하
學	배울 학
海	바다 해
香	향기 향
血	피 혈
形	모양 형
化	될 화
和	화할 화
花	꽃 화
話	말씀 화
畫	그림 화
活	살 활
後	뒤 후
