purchase	구매하다, 구매
installment	할부
affordable	(가격이)알맞은, 감당할 수 있는
exactly	정확히
auction	경매
authentic	진정한, 진짜의, 진품의
charge	요금, 청구, 금액; 책임, 의무 ~을 청구하다; (외상으로)달아놓다
notice	통지, 공고
experienced	경험이 있는, 노련한, 능숙한
instruction	설명, 지시 (instruct 가르치다, 지시하다, instructor교사, 강사)
expert	전문가, 전문가의, 전문적인
warranty	(품질 등의)보증, 보증서
refund	환불, 환불금
subscriber	가입자, 구독자
delivery	배달
price	가격
receipt	영수증
offer	제공하다, 제공,오퍼
carefully	주의깊게, 신중히
benefit	혜택, 이익, 혜택을 보다, 이익을 얻다
exclusively	오로지, 독점적으로
description	(제품등의)설명, 해설
relatively	상대적으로
spare	아끼다, 할애하다, 예비의, 여분의
preparation	준비, 대비
area	지역, 구역
clearance	정리, 없애기; 허가
alter	(성질, 형상을)고치다, 바꾸다
apply	적용하다; 지원하다
mutually	서로, 상호 간에 (mutuality 상호관계, 상호의존)
method	방식, 방법
acceptable	용인되는, 받아들일 수 있는; 훌륭한, 만족스러운
desire	욕구, 갈망, 원하다, 바라다
redeemable	(현금, 상품과) 교환할 수 있는, 환급할 수 있는(redeem 상환하다)
officially	공식적으로
consumption	소비(량), 소모 (consumptive 소모적인)
qualify	~의 자격을 얻다
fabric	섬유, 천
valid	유효한
vendor	노점상, 가판대; 판매업체
