international	국제적인
attraction	관광 명소
itinerary	여행 일정
exotic	이국적인, 매혹적인
diverse	다양한
superb	최고의, 뛰어난
baggage	수화물
destination	목적지
missing	분실된, 없어진
locate	(~의 위치를)찾아내다; ~을 위치시키다
approximately	대략
duty	관세, 세금; 직무, 의무
process	과정, 처리하다
board	탑승하다, 이사회
comfortable	편안한
declare	(세관에서)신고하다
specify	명시하다 (specification 열거, 명시, 명세서)
depart	출발하다
emergency	비상시, 비상 사태
passenger	승객
outgoing	(장소를)출발하는, 떠나는; (지위를)떠나는
tighly	단단히, 꽉
tour	(공장,시설 등의)견학, 짧은 여행
carrier	항공사, 수송기, 수송 회사
customarily	관례상, 습관적으로
confuse	혼란시키다 (refuse 거절하다, 거부하다)
arrive	도착하다
brochure	(홍보용)소책자, 브로셔
involve	수반하다, 포함하다; 참여시키다
ship	(배나 다른 운송 수단으로)운송하다, 수송하다, 선박, 배
suitcase	여행가방
unavailable	이용할 수 없는, 구할 수 없는
fill out/in	(서류에)기입하다, 적어 넣다
customs	세관
away	떨어져서
dramatic	멋진, 극적인; 급격한
hospitality	환대, 친절
indulge	빠지다, 탐닉하다
proximity	가까움, 근접함
seating	(집합적)좌석 설비; 좌석 배열
unlimited	무제한의
