completely	전적으로, 완전히
refuse	거절하다
temporarily	일시적으로, (temporary 일시적인, 잠정적인, 임시고용인)
dealer	판매업자, 상인
bulk	대량의
inventory	재고품, 재고목록
short	부족한
cost	비용
selection	선택된 것, 정선품
commercial	상업의, 상업적인, 광고
order	주문하다, 주문, 주문품
provide	공급하다, 제공하다
contact	~와 연락하다, (상업적 목적으로)교섭하고 있는 사람
invoice	송장
move	옮기다, 움직이다, 조치, 수단; 이동, 이사
supply	공급하다, 공급; (-s)비품, 소모품
discount	할인
distribute	배포하다, 배급하다
acquisition	인수; 구입한 것
assure	~에게 보장하다, ~을 안심시키다, 장담하다
subject	~의 영향을 받기 쉬운; (동의 등을)조건으로 하는, ~에게(~을) 받게 하다
seek	구하다, 찾다
satisfactory	만족스러운
confirmation	확인, 확증
unable	~할 수 없는
payment	지불(금액),납입(금액)
measure	대책, 조치, 수단, 측정하다
bargain	특가품, 흥정
stock	재고; 주식
affordability	감당할 수 있는 비용
clientele	(집합적)고객들, (변호사,건축가 등의)모든 의뢰인
acclaim	호평, 찬사
represent	~을 대표하다
rating	등급, 평가
encompass	포함하다, 둘러싸다
finalize	마무리 짓다, 완결하다
market	시장
retail	소매
commodity	상품, 산물
quote	견적(액), 견적을 내다
consignment	위탁 판매 (consign위탁하다)
