fragile	깨지기 쉬운
perishable	부패하기 쉬운
deliver	배달하다; (연설을)하다
ensure	확실하게 하다, 보장하다
courier	급송 택배, 운반인
carton	(큰)판지상자
address	주소, (어려운 문제 등을)처리하다, 다루다
shipment	선적, (화물의)발송; 수송품, 적하물
particularly	특히
adequately	적절히
article	물품, 물건; 기사, 논설
efficient	(기계, 방법 등이)효과적인,능률적인
agency	대행 회사, 대리점
enclose	~을 동봉하다; ~을 둘러싸다, 애워싸다
careful	조심스러운, 주의 깊은
pick up	~을 찾다; (사람,물건 등을) 도중에 태우다
carry	지니다; (물건을)팔다, 가게에 놓다
attach	붙이다, 접착하다, 첨부하다
formerly	이전에
package	소포, 꾸러미
react	반응하다, 대응하다
content	내용물
convenience	편의, 편리
acknowledge	인정하다; (편지 등의)수령을 알리다, 감사하다
caution	주의, 조심
correspondence	편지, 통신문
separate	분리하다; 분류하다
remarkable	현저한, 두드러진(markedly 현저하게 눈에 띄게)
handle	취급하다, 다루다
warehouse	창고, 저장소
impose	(세금 등을)부과하다
storage	보관소, 저장소
detach	분리하다, 떼다, (attach 붙이다)
envelope	봉투
exclusion	제외, 배제
recipient	수신자
affix	(우표 등을)붙이다
incorrect	부정확한
oblige	어쩔 수 없이 ~하게 하다, ~에게 강요하다
step	단계; 조치, 수단
