decline	감소, 하락,(초대,신청을)거절하다
markedly	현저하게, 눈에 띄게
increase	인상, 증가, 증가하다
revenue	수입
projection	예상(치)
substantial	상당한
anticipate	예상하다, 기대하다 (anticipation 예상)
significantly	상당히, 두드러지게
estimate	추정하다, 추산하다, 추정(치), 추산
shift	옮기다, 이동하다, 변화, 교대근무
fee	요금, 수수료
production	생산량, 생산
sale	(-s)매출액, 매상고; (할인)판매
impressive	굉장한, 인상적인
representative	직원, 외판원; 대표자
recent	최근의
exceed	~을 초과하다 (exceedingly 대단히, 몹시) (exceedably 넘을 수 있는)
improvement	향상
employer	고용주
regular	정기적인; 단골의
summarize	요약하다
typically	보통, 일반적으로
whole	전체의, 온전한
growth	성장, 발전
figure	총액, 합계 수
steady	꾸준한; 안정된
frequent	빈번한, 잦은
achieve	달성하다, 성취하다
assumption	추정, 산정, 가정
share	공유하다, 함께쓰다; (생각, 경험, 감정을 남과)함께 나누다; 몫, 지분
incur	(손실을)입다, (빚을)지다
slightly	약간
profit	수익, 이익
reliant	의존하는, 의지하는 (reliantly 의지하여)
illustrate	분명히 보여주다, 설명하다 (illustrate 설명,해설,삽화)
inaccurate	부정확한
percentage	비율, 백분율
reduce	줄이다, 감소시키다
tend	~하는 경향이 있다, ~하기 쉽다
