audit	회계 감사, 심사
accounting	회계
budget	예산
financial	재정의, 금전상의
curtail	~을 줄이다, 삭감하다 (curtailment 단축)
deficit	적자, 부족액
recently	최근에
substantially	크게, 상당히 (substantial 상당한, 재력이 있는)
committee	위원회
frequently	자주, 흔히
capability	능력, 역량
proceeds	수익금
reimburse	변제하다, 상환하다
considerably	상당히, 많이
adequate	충분한, 적절한 (adequately 적절히, 충분히)
total	총계의, 전부의
allocate	할당하다, 배분하다 (allocation 할당)
inspector	조사관, 감독관 (inspect 검사하다)
preferred	선호되는, 우선의
quarter	사분기; 4분의1
interrupt	중단시키다, 방해하다 (interruption 방해, 중지, 중단)
browse	흝어보다, 둘러보다
prompt	즉각적인; 신속한, 촉발하다, 유도하다 (promptly 신속히)
deduct	공제하다, 빼다 (deduction 공제)
measurement	측정, 측량; 치수
shorten	단축하다, 짧게하다
amend	수정하다 (amendable 개정할 수 있는)
calculate	계산하다, 산출하다
exempt	면제된, ~이 없는 (exemption 면제)
deficient	부족한, 불충분한
compare	비교하다
fortunate	운 좋은
expenditure	지출, 비용
accurately	정확하게
worth	~의 가치가 있는, (얼마)어치, 가치
excess	초과, 초과량
fiscal	회계의, 재정상의
incidental	부수적인
inflation	물가상승, 인플레이션, 통화팽창
liable	책임져야 할; ~하기 쉬운
spend	~을 쓰다, 소비하다
turnover	총 매상고, 거래액; 이직률
