furnished	가구가 비치된
residence	거주지, 주택
spacious	(공간이)넓은
drape	(방 등을 커튼 등으로)장식하다
unoccupied	(집 등이)비어 있는, 사람이 살지 않는 (occupy 차지하다, 점유하다)
renovation	수리, 개조
appropriate	적당한, 적합한(appropriately 적합하게)
delay	연기하다, ~을 뒤로 미루다
community	지역 사회, 공동체
construction	건설, 건축
repair	수리하다
currently	현재
regularly	정기적으로
arrange	배열하다, 정돈하다
location	장소, 위치
restore	복구하다, 회복시키다 (recovery 회복, recover되찾다, 회복하다)
presently	현재 (present, current 현재의) (latest, recent, up to date 최근의)
numerous	많은
abandon	그만두다; 버리다(abondonment 버림, 포기)
contractor	계약자, 도급업자
develop	개발하다
maintain	유지하다, 관리하다
densely	빽빽이, 밀집하여
prepare	준비하다, 채비를 갖추다
finally	결국, 마침내
district	지역, 지구
renewal	재개발
compulsory	의무적인
interfere	방해하다, 해치다
relocation	이전, 재배치
totally	완전히, 전적으로
actually	실제로, 사실은
architect	건축가
enlarge	확장하다, 확대하다
install	설치하다, 장치하다
permanent	영구적인
suppose	생각하다, 추측하다(guess, infer 추측하다)
adjacent	인접한
consist	구성되다, 이루어지다
utility	공공시설; 공공요금
