conserve	보전하다, 유지하다
chance	가능성, 기회
forecast	(날씨의)예보
waste	쓰레기, 폐기물
dispose	처분하다, 처리하다
recycling	재활용
clear	맑게 갠; 명백한, 분명한 또렷하게, 완전히; 떨어져서
damage	피해, 손해, 손상시키다
significant	상당한; 중대한, 중요한
solution	해결책
occur	(일이)발생하다, 생기다(happen, take place)
ideal	이상적인
preserve	보존하다, 보호하다(=conserve, maintain, retain, keep)
aid	원조, 돕다
excessive	지나친, 과도한(excess 초과, 초과량)
intensively	집중적으로( intense 격렬한)
vary	다르다, 다양하다
pleasing	즐거운, 기분 좋은, 만족스러운
mark	점수, 평점, 표시, 축하하다
inaccessible	접근이 불가능한, 이용이 불가능한
disturb	방해하다
pollutant	오염물질
emission	배기가스, 방출
dense	빽빽한, 밀집한
environmental	환경적인
consistent	일치하는, 지속적인, 한결같은
leak	누출, 누출량
organization	단체
continually	계속해서
contaminate	오염시키다(=pollution)
disaster	재난
discharge	방출하다
resource	자원, 자료
prominent	유명한, 두드러진
deplete	고갈시키다(depletion 고갈)
purify	정화시키다
endangered	멸종 위기에 처한
extinction	멸종
drought	가뭄
inflict	(고통,피해를)입히다, 가하다
migration	이동, 이주
ecology	생태, 자연환경
habitat	(동, 식물의)서식지
